16:35:47: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command_worker.py | command_worker | 47] Logger initialized
16:35:47: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 0.0, 4.0)
16:35:47: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 137] CHANGE_ALTITUDE: 1
16:35:47: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 0.0, 1.0)
16:35:47: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 137] CHANGE_ALTITUDE: -1
16:35:48: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 0.0, 0.6666666666666666)
16:35:48: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 0.0, 0.5)
16:35:49: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 0.0, 0.4)
16:35:49: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 0.0, 0.3333333333333333)
16:35:50: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 0.0, 0.2857142857142857)
16:35:50: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 2.5, 0.25)
16:35:50: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: 63.434948822922024
16:35:51: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 106] Average velocity: (0.0, 4.444444444444445, 0.2222222222222222)
16:35:51: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/command/command.py | run | 157] CHANGE_YAW: 90.0
