16:33:08: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/modules/common/modules/logger/logger_main_setup.py | setup_main_logger | 62] main logger initialized
16:33:08: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | main | 117] Connected!
16:33:08: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:09: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:10: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:10: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:11: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:12: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:12: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:13: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:14: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:15: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:16: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:17: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Disconnected
16:33:18: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Disconnected
16:33:19: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Disconnected
16:33:20: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Disconnected
16:33:21: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:22: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:22: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:23: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:24: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:24: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:25: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:25: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:26: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:27: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
16:33:28: [INFO] [/Users/arushhanda/Desktop/warg-bootcamp-task-autonomy/autonomy-bootcamp-2025-p2/tests/integration/test_heartbeat_receiver.py | read_queue | 77] Connected
